 names peaks_phase peaks_s source_file
0 1828_11 0.2669 0.1081 stripped-cleaned-images-006.txt
1 1829_10 0.2973 0.0982 stripped-cleaned-images-006.txt
2 1830_08 0.3380 0.0288 stripped-cleaned-images-006.txt
3 1831_04 0.0305 0.0089 stripped-cleaned-images-006.txt
4 1832_06 0.3664 0.1121 stripped-cleaned-images-006.txt
5 1835_1106 3.6994 0.6137 stripped-cleaned-images-006.txt
6 1834_04 0.1178 0.0417 stripped-cleaned-images-006.txt
7 1839+56 0.0051 0.0084 stripped-cleaned-images-006.txt
8 1839+09 0.2073 0.0791 stripped-cleaned-images-006.txt
9 1842_02 0.2760 0.1401 stripped-cleaned-images-006.txt
10 1844_04 0.0203 0.0121 stripped-cleaned-images-006.txt
11 1846_06 0.0359 0.0521 stripped-cleaned-images-006.txt
12 1848+13 0.0075 0.0026 stripped-cleaned-images-006.txt
13 1848+04 0.1026 0.0292 stripped-cleaned-images-006.txt
14 1851+1259 0.2279 0.2747 stripped-cleaned-images-006.txt
15 1852_2610 0.0045 0.0015 stripped-cleaned-images-006.txt
16 1851_14 0.0290 0.0333 stripped-cleaned-images-006.txt
17 1853+01 2.5872 0.6919 stripped-cleaned-images-006.txt
18 1855+02 0.1012 0.0421 stripped-cleaned-images-006.txt
19 1857_26 0.0035 0.0021 stripped-cleaned-images-006.txt
20 1859+01 0.0178 0.0051 stripped-cleaned-images-006.txt
21 1859+07 1.3997 0.9014 stripped-cleaned-images-006.txt
22 1900+05 0.0210 0.0157 stripped-cleaned-images-006.txt
23 1900+06 0.0366 0.0247 stripped-cleaned-images-006.txt
24 1900_06 0.4051 0.1750 stripped-cleaned-images-006.txt
25 1904+0004 0.0459 0.0064 stripped-cleaned-images-006.txt
26 1902_01 0.0121 0.0078 stripped-cleaned-images-006.txt
27 1903+07 0.8078 0.5235 stripped-cleaned-images-006.txt
28 1904+06 0.0139 0.0037 stripped-cleaned-images-006.txt
29 1907+02 0.0100 0.0099 stripped-cleaned-images-006.txt
30 1907+03 0.0367 0.0856 stripped-cleaned-images-006.txt
31 1907_03 0.1746 0.0881 stripped-cleaned-images-006.txt
32 1911+13 0.0132 0.0069 stripped-cleaned-images-006.txt
33 1911_04 0.0779 0.0644 stripped-cleaned-images-006.txt
34 1913+10 0.0483 0.0195 stripped-cleaned-images-006.txt
35 1914+09 0.0275 0.0074 stripped-cleaned-images-006.txt
36 1914+13 1.6880 0.4758 stripped-cleaned-images-006.txt
37 1915+13 0.3818 0.0743 stripped-cleaned-images-006.txt
38 1919+14 0.1642 0.1015 stripped-cleaned-images-006.txt
39 1923+04 0.0092 0.0099 stripped-cleaned-images-006.txt
40 1929+20 0.1111 0.0298 stripped-cleaned-images-006.txt
41 1930+22 1.5366 0.2220 stripped-cleaned-images-006.txt
42 1931+24 0.4329 0.3522 stripped-cleaned-images-006.txt
43 1933+16 0.0667 0.0239 stripped-cleaned-images-006.txt
44 1935+25 0.0148 0.0030 stripped-cleaned-images-006.txt
45 1937+21 0.1284 0.0002 stripped-cleaned-images-006.txt
46 1937_26 0.0025 0.0010 stripped-cleaned-images-006.txt
47 1941_17 0.0202 0.0170 stripped-cleaned-images-006.txt
48 1943_29 0.0048 0.0046 stripped-cleaned-images-006.txt
49 1946_25 0.0063 0.0060 stripped-cleaned-images-006.txt
50 1951+32 6.3973 0.2529 stripped-cleaned-images-006.txt
51 1953+50 0.0152 0.0079 stripped-cleaned-images-006.txt
52 1957+2831 0.0199 0.0061 stripped-cleaned-images-006.txt
53 2000+32 1.6044 1.1179 stripped-cleaned-images-006.txt
54 2000+40 0.0055 0.0050 stripped-cleaned-images-006.txt
55 2002+31 0.0806 0.1701 stripped-cleaned-images-006.txt
56 2011+38 0.1022 0.0235 stripped-cleaned-images-006.txt
57 2021+51 0.3452 0.1827 stripped-cleaned-images-006.txt
58 2022+50 0.0265 0.0099 stripped-cleaned-images-006.txt
59 2027+37 0.0196 0.0239 stripped-cleaned-images-006.txt
60 2028+22 0.0085 0.0054 stripped-cleaned-images-006.txt
61 2035+36 0.9694 0.5998 stripped-cleaned-images-006.txt
62 2045+56 0.0687 0.0328 stripped-cleaned-images-006.txt
63 2053+36 0.0266 0.0059 stripped-cleaned-images-006.txt
64 2111+46 0.0428 0.0434 stripped-cleaned-images-006.txt
65 2122+13 0.0054 0.0037 stripped-cleaned-images-006.txt
66 2154+40 0.0308 0.0470 stripped-cleaned-images-006.txt
67 2210+29 0.0083 0.0083 stripped-cleaned-images-006.txt
68 2227+61 0.0568 0.0251 stripped-cleaned-images-006.txt
69 2248_0101 0.0081 0.0039 stripped-cleaned-images-006.txt
70 2255+58 0.0735 0.0271 stripped-cleaned-images-006.txt
71 2303+30 0.0075 0.0118 stripped-cleaned-images-006.txt
72 2306+55 0.0114 0.0054 stripped-cleaned-images-006.txt
73 2310+42 0.0324 0.0113 stripped-cleaned-images-006.txt
74 2319+60 0.0043 0.0096 stripped-cleaned-images-006.txt
75 2324+60 0.0144 0.0034 stripped-cleaned-images-006.txt
76 2334+61 0.0389 0.0192 stripped-cleaned-images-006.txt
77 2351+61 0.0268 0.0253 stripped-cleaned-images-006.txt
78 0011+47 0.0292 0.0362 stripped-cleaned-images-001.txt
79 0034_0534 0.2092 0.0004 stripped-cleaned-images-001.txt
80 0037+56 4.2748 4.7802 stripped-cleaned-images-001.txt
81 0045+33 0.0102 0.0124 stripped-cleaned-images-001.txt
82 0052+51 0.0053 0.0112 stripped-cleaned-images-001.txt
83 0053+47 0.0924 0.0436 stripped-cleaned-images-001.txt
84 0059+65 0.0998 0.1676 stripped-cleaned-images-001.txt
85 0105+65 0.5143 0.6601 stripped-cleaned-images-001.txt
86 0105+68 0.0162 0.0173 stripped-cleaned-images-001.txt
87 0108_1431 0.0392 0.0316 stripped-cleaned-images-001.txt
88 0114+58 9.2973 0.9431 stripped-cleaned-images-001.txt
89 0134_2937 0.0097 0.0013 stripped-cleaned-images-001.txt
90 0136+57 1.0745 0.2927 stripped-cleaned-images-001.txt
