Aem epsI3 epsA omega0 a0 chi res
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 1.00000e+00 8.59000e+01 1.88269e-21
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 1.00000e+00 8.59000e+01 2.09801e-21
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 1.00000e+00 8.59000e+01 2.41997e-21
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 1.00000e+00 8.59000e+01 2.80920e-21
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 1.00000e+00 8.59000e+01 3.86433e-21
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 1.00000e+00 8.59000e+01 5.38277e-21
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 1.00000e+00 8.59000e+01 7.98274e-21
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 1.00000e+00 8.59000e+01 1.21424e-20
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 1.00000e+00 8.59000e+01 1.97902e-20
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 1.00000e+00 8.59000e+01 3.20363e-20
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 1.00000e+00 8.59000e+01 5.37324e-20
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 1.00000e+00 8.59000e+01 9.27613e-20
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 1.00000e+00 8.59000e+01 1.61085e-19
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 1.00000e+00 8.59000e+01 2.88947e-19
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 1.00000e+00 8.59000e+01 5.35877e-19
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 1.00000e+00 8.59000e+01 1.02449e-18
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 1.00000e+00 8.59000e+01 2.06260e-18
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 1.00000e+00 8.59000e+01 4.33392e-18
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 1.00000e+00 8.59000e+01 9.50680e-18
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 1.00000e+00 8.59000e+01 2.17046e-17
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 2.00000e+00 8.59000e+01 2.93640e-18
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 2.00000e+00 8.59000e+01 1.87240e-18
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 2.00000e+00 8.59000e+01 1.11943e-18
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 2.00000e+00 8.59000e+01 2.04948e-18
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 2.00000e+00 8.59000e+01 1.98933e-18
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 2.00000e+00 8.59000e+01 1.04250e-18
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 2.00000e+00 8.59000e+01 7.35687e-19
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 2.00000e+00 8.59000e+01 1.49281e-18
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 2.00000e+00 8.59000e+01 1.86336e-18
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 2.00000e+00 8.59000e+01 3.14056e-18
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 2.00000e+00 8.59000e+01 1.48036e-18
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 2.00000e+00 8.59000e+01 2.64373e-18
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 2.00000e+00 8.59000e+01 4.13213e-18
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 2.00000e+00 8.59000e+01 3.51821e-18
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 2.00000e+00 8.59000e+01 3.37442e-18
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 2.00000e+00 8.59000e+01 5.14326e-18
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 2.00000e+00 8.59000e+01 8.88450e-18
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 2.00000e+00 8.59000e+01 2.06715e-17
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 2.00000e+00 8.59000e+01 3.19049e-17
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 2.00000e+00 8.59000e+01 6.01272e-17
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 3.00000e+00 8.59000e+01 8.56730e-20
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 3.00000e+00 8.59000e+01 8.95741e-20
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 3.00000e+00 8.59000e+01 1.92631e-18
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 3.00000e+00 8.59000e+01 1.25306e-18
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 3.00000e+00 8.59000e+01 7.25694e-19
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 3.00000e+00 8.59000e+01 3.06013e-18
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 3.00000e+00 8.59000e+01 1.79702e-18
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 3.00000e+00 8.59000e+01 1.71634e-18
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 3.00000e+00 8.59000e+01 2.55587e-18
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 3.00000e+00 8.59000e+01 1.61632e-18
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 3.00000e+00 8.59000e+01 7.55696e-18
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 3.00000e+00 8.59000e+01 7.18750e-18
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 3.00000e+00 8.59000e+01 3.62495e-18
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 3.00000e+00 8.59000e+01 7.74364e-18
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 3.00000e+00 8.59000e+01 1.26407e-17
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 3.00000e+00 8.59000e+01 1.50929e-17
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 3.00000e+00 8.59000e+01 3.08782e-17
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 3.00000e+00 8.59000e+01 5.40414e-17
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 3.00000e+00 8.59000e+01 1.04387e-16
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 3.00000e+00 8.59000e+01 1.81597e-16
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 4.00000e+00 8.59000e+01 3.53878e-19
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 4.00000e+00 8.59000e+01 3.70254e-19
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 4.00000e+00 8.59000e+01 3.97502e-19
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 4.00000e+00 8.59000e+01 8.80437e-19
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 4.00000e+00 8.59000e+01 1.89350e-18
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 4.00000e+00 8.59000e+01 2.97670e-18
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 4.00000e+00 8.59000e+01 1.68636e-18
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 4.00000e+00 8.59000e+01 4.26712e-18
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 4.00000e+00 8.59000e+01 1.89307e-18
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 4.00000e+00 8.59000e+01 2.76488e-18
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 4.00000e+00 8.59000e+01 5.57698e-18
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 4.00000e+00 8.59000e+01 8.32570e-18
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 4.00000e+00 8.59000e+01 1.03460e-17
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 4.00000e+00 8.59000e+01 1.61114e-17
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 4.00000e+00 8.59000e+01 2.82294e-17
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 4.00000e+00 8.59000e+01 5.60283e-17
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 4.00000e+00 8.59000e+01 8.89379e-17
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 4.00000e+00 8.59000e+01 1.62959e-16
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 4.00000e+00 8.59000e+01 2.88006e-16
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 4.00000e+00 8.59000e+01 5.58370e-16
