chi=5.23599e-01 eps_A=5.00000e-11 eps_I=1.00000e-09  t_end=1.80e+11 ts=9.00e+06 ta=2.00e+06 tp=1.00e+05
1.0000000000000000e-10 1.0000000000000000e+04  8.7266462599716477e-01
6.0000000000000000e-10 1.0000000000000000e+04  8.7266462599716477e-01
3.1000000000000000e-09 9.9999999999999982e+03  8.7266462599716466e-01
1.5600000000000001e-08 9.9999999999999891e+03  8.7266462599716421e-01
7.8099999999999991e-08 9.9999999999999454e+03  8.7266462599716210e-01
3.9059999999999996e-07 9.9999999999997308e+03  8.7266462599715144e-01
1.9531000000000000e-06 9.9999999999986594e+03  8.7266462599709804e-01
9.7656000000000001e-06 9.9999999999933061e+03  8.7266462599683092e-01
4.8828100000000001e-05 9.9999999999665361e+03  8.7266462599549521e-01
2.4414060000000002e-04 9.9999999998326894e+03  8.7266462598881656e-01
1.2207031000000001e-03 9.9999999991634559e+03  8.7266462595542327e-01
6.1035155999999997e-03 9.9999999958172921e+03  8.7266462578845694e-01
3.0517578099999998e-02 9.9999999790864695e+03  8.7266462495362507e-01
1.5258789060000000e-01 9.9999998954323564e+03  8.7266462077946572e-01
7.6293945310000000e-01 9.9999994771618294e+03  8.7266459990866996e-01
3.8146972656000000e+00 9.9999973858101148e+03  8.7266449555471526e-01
1.9073486328100000e+01 9.9999869290744864e+03  8.7266397378553906e-01
9.5367431640600003e+01 9.9999346459700537e+03  8.7266136495458591e-01
4.7683715820309999e+02 9.9996732447897866e+03  8.7264832117299995e-01
2.3841857910156000e+03 9.9983665973234511e+03  8.7258311159263469e-01
1.1920928955078100e+04 9.9918423068406973e+03  8.7225729663934626e-01
5.9604644775390596e+04 9.9594427867535906e+03  8.7063401569997834e-01
2.3779282795461535e+05 9.8415446020538511e+03  8.6465176585421710e-01
7.6666594997172302e+05 9.5184495820449320e+03  8.4762693627537133e-01
1.3905550038389328e+06 9.1813196652303650e+03  8.2880835815624210e-01
2.0754582057899786e+06 8.8558054579630170e+03  8.0952408027308742e-01
2.8239471468761507e+06 8.5431571426952123e+03  7.8987762121740479e-01
3.6419783436656054e+06 8.2429613906802751e+03  7.6988484135940993e-01
4.5363872823388800e+06 7.9547027600432848e+03  7.4955676299946061e-01
5.5147288032186078e+06 7.6778805208162039e+03  7.2890650566921034e-01
6.5853718522060551e+06 7.4120046207205651e+03  7.0794919878369367e-01
7.7575306480186842e+06 7.1566089555997414e+03  6.8670328732453478e-01
9.0414108211596739e+06 6.9112363400099612e+03  6.6518966562305959e-01
1.0448294432451297e+07 6.6754431256709995e+03  6.4343228107161465e-01
1.1990613996608920e+07 6.4488037390463132e+03  6.2145885868945983e-01
1.3682093154152900e+07 6.2309045228091691e+03  5.9930063662260513e-01
1.5537866928179851e+07 6.0213437424839349e+03  5.7699257764460010e-01
1.7574648061468940e+07 5.8197277903489976e+03  5.5457310786917113e-01
1.9810699428319581e+07 5.6256862773963740e+03  5.3208592006396549e-01
2.2266182135562345e+07 5.4388502470881313e+03  5.0957757975792695e-01
2.4953788999251846e+07 5.2594517067533852e+03  4.8717335700963132e-01
2.7895022165644892e+07 5.0870782937339363e+03  4.6492568482498692e-01
3.1114587893655822e+07 4.9212655694163477e+03  4.4287949224420187e-01
3.4639851250322565e+07 4.7615658743662934e+03  4.2107996874808090e-01
3.8501117572113104e+07 4.6075511006067918e+03  3.9957253424511646e-01
4.2731875152000904e+07 4.4588169778027232e+03  3.7840302857493680e-01
4.7369265231255196e+07 4.3149795881321643e+03  3.5761677144244070e-01
5.2454295020211928e+07 4.1756821518344068e+03  3.3725902871947877e-01
5.8032533981235534e+07 4.0405880531948637e+03  3.1737345023113789e-01
6.4154498659239963e+07 3.9093857963077589e+03  2.9800219386864074e-01
7.0876284421399221e+07 3.7817882901722082e+03  2.7918522000988483e-01
7.8260200233887807e+07 3.6575339328994655e+03  2.6095985633560304e-01
8.6375364577010825e+07 3.5363890024227389e+03  2.4336057988041318e-01
9.5279605345362291e+07 3.4183832816855806e+03  2.2645196781278693e-01
1.0502746250131884e+08 3.3035991568762370e+03  2.1029555685702978e-01
1.1569407953258082e+08 3.1919028022792709e+03  1.9491137739081091e-01
1.2736207698254442e+08 3.0831681416306023e+03  1.8031087182528113e-01
1.4012215252671692e+08 2.9772812204857128e+03  1.6649795287547139e-01
1.5407222387273732e+08 2.8741530569570491e+03  1.5347123069650090e-01
