chi=1.30900e+00 eps_A=5.00000e-11 eps_I=1.00000e-09  t_end=8.00e+10 ts=9.00e+06 ta=2.00e+06 tp=1.00e+05
1.0000000000000000e-10 1.0000000000000000e+04  8.7266462599716477e-01
6.0000000000000000e-10 1.0000000000000000e+04  8.7266462599716477e-01
3.1000000000000000e-09 9.9999999999999982e+03  8.7266462599716477e-01
1.5600000000000001e-08 9.9999999999999891e+03  8.7266462599716499e-01
7.8099999999999991e-08 9.9999999999999400e+03  8.7266462599716632e-01
3.9059999999999996e-07 9.9999999999996980e+03  8.7266462599717320e-01
1.9531000000000000e-06 9.9999999999984848e+03  8.7266462599720740e-01
9.7656000000000001e-06 9.9999999999924203e+03  8.7266462599737815e-01
4.8828100000000001e-05 9.9999999999621014e+03  8.7266462599823202e-01
2.4414060000000002e-04 9.9999999998105031e+03  8.7266462600250128e-01
1.2207031000000001e-03 9.9999999990525121e+03  8.7266462602384731e-01
6.1035155999999997e-03 9.9999999952625531e+03  8.7266462613057727e-01
3.0517578099999998e-02 9.9999999763127562e+03  8.7266462666422728e-01
1.5258789060000000e-01 9.9999998815637755e+03  8.7266462933247713e-01
7.6293945310000000e-01 9.9999994078189156e+03  8.7266464267372579e-01
3.8146972656000000e+00 9.9999970390956842e+03  8.7266470937994900e-01
1.9073486328100000e+01 9.9999851955061094e+03  8.7266504291056746e-01
9.5367431640600003e+01 9.9999259782228164e+03  8.7266671055122091e-01
4.7683715820309999e+02 9.9996299084198527e+03  8.7267504844352983e-01
2.3841857910156000e+03 9.9981499746077425e+03  8.7271673013306805e-01
1.1920928955078100e+04 9.9907606687762764e+03  8.7292494452393932e-01
5.7141763382913356e+04 9.9559557494820183e+03  8.7390786819224009e-01
2.3908137823620404e+05 9.8196948240296624e+03  8.7779125537036184e-01
7.2834866123145027e+05 9.4805708670277545e+03  8.8770751641758228e-01
1.3037910477397577e+06 9.1253587707142378e+03  8.9849859373806751e-01
1.9322433153892048e+06 8.7816351553443528e+03  9.0936059511370171e-01
2.6151348406654699e+06 8.4508160563329093e+03  9.2023106774570329e-01
3.3569184689571364e+06 8.1325295006728547e+03  9.3110068586720895e-01
4.1626615218167636e+06 7.8262964250454534e+03  9.4196394140261908e-01
5.0379086522054095e+06 7.5316412584786649e+03  9.5281580500675056e-01
5.9886363632019358e+06 7.2481224906483922e+03  9.6365062710360305e-01
7.0213686937967688e+06 6.9753053840959783e+03  9.7446311369012018e-01
8.1432243854951151e+06 6.7127659534595323e+03  9.8524822238355392e-01
9.3618538032468390e+06 6.4601159537500080e+03  9.9600011333664251e-01
1.0685598795887694e+07 6.2169738178479147e+03  1.0067132935150036e+00
1.2123553813724166e+07 5.9829673948161180e+03  1.0173825433381778e+00
1.3685491062977027e+07 5.7577550393719048e+03  1.0280019369283717e+00
1.5382181817755017e+07 5.5409859814740439e+03  1.0385666662707167e+00
1.7225181908512302e+07 5.3323421882702869e+03  1.0490710711062590e+00
1.9227082561480805e+07 5.1315120898266514e+03  1.0595098578408693e+00
2.1401628979594428e+07 4.9381901514855153e+03  1.0698781621275102e+00
2.3763532109044641e+07 4.7521007814658278e+03  1.0801702469553414e+00
2.6328977478406098e+07 4.5729615229813871e+03  1.0903814668422951e+00
2.9115435646186061e+07 4.4005089425699562e+03  1.1005068674125149e+00
3.2141923301972710e+07 4.2344869845728426e+03  1.1105418171126265e+00
3.5428834942226335e+07 4.0746617318105968e+03  1.1204810896761364e+00
3.8998702822396740e+07 3.9207891746859373e+03  1.1303208334642505e+00
4.2875543407294832e+07 3.7726536936538942e+03  1.1400561676574656e+00
4.7085802578696087e+07 3.6300330213727143e+03  1.1496833938627955e+00
5.1657958253543407e+07 3.4927217615829236e+03  1.1591984679464529e+00
5.6622855290884800e+07 3.3605234177821580e+03  1.1685974826914709e+00
6.2014022253889255e+07 3.2332469494251372e+03  1.1778768980310534e+00
6.7867892931769192e+07 3.1107074843053751e+03  1.1870334906824560e+00
7.4223977682536110e+07 2.9927279280042876e+03  1.1960642230267766e+00
8.1125070283178270e+07 2.8791392922786663e+03  1.2049661924108239e+00
8.8617354951234043e+07 2.7697822009596703e+03  1.2137364778148101e+00
9.6751100348640308e+07 2.6645001063439486e+03  1.2223726542207858e+00
1.0558098780597839e+08 2.5631405745465331e+03  1.2308726942178372e+00
1.1516625627270921e+08 2.4655581198999062e+03  1.2392347183135317e+00
